isoCode;date;Generation from Renewables (TWh);Generation from Fossil Fuels (TWh);Total Generation (TWh)
AFG;2000;0,31;0,16;0,47
AFG;2001;0,5;0,09;0,59
AFG;2002;0,56;0,13;0,69
AFG;2003;0,63;0,31;0,94
AFG;2004;0,56;0,33;0,89
AFG;2005;0,59;0,34;0,93
AFG;2006;0,64;0,2;0,84
AFG;2007;0,75;0,2;0,95
AFG;2008;0,54;0,19;0,73
AFG;2009;0,78;0,16;0,94
AFG;2010;0,75;0,19;0,94
AFG;2011;0,6;0,18;0,78
AFG;2012;0,74;0,14;0,88
AFG;2013;0,89;0,22;1,11
AFG;2014;1;0,16;1,16
AFG;2015;1,03;0,15;1,18
AFG;2016;1,06;0,15;1,21
AFG;2017;1,09;0,18;1,27
AFG;2018;0,97;0,2;1,17
AFG;2019;0,89;0,18;1,07
AFG;2020;0,68;0,12;0,8
AFG;2021;0,7;0,13;0,83
ALB;1990;2,85;0,45;3,3
ALB;1991;3,52;0,3;3,82
ALB;1992;3,23;0,17;3,4
ALB;1993;3,31;0,22;3,53
ALB;1994;3,77;0,17;3,94
ALB;1995;4,2;0,27;4,47
ALB;1996;5,73;0,26;5,99
ALB;1997;5,03;0,2;5,23
ALB;1998;4,92;0,19;5,11
ALB;1999;5,28;0,14;5,42
ALB;2000;4,59;0,18;4,77
ALB;2001;3,56;0,17;3,73
ALB;2002;3,51;0,23;3,74
ALB;2003;4,89;0,11;5
ALB;2004;5,47;0,14;5,61
ALB;2005;5,37;0,07;5,44
ALB;2006;5,43;0,09;5,52
ALB;2007;2,79;0,07;2,86
ALB;2008;3,8;0;3,8
ALB;2009;5,2;0;5,2
ALB;2010;7,57;0;7,57
ALB;2011;4,13;0,06;4,19
ALB;2012;4,72;0;4,72
ALB;2013;6,96;0;6,96
ALB;2014;4,72;0;4,72
ALB;2015;5,89;0;5,89
ALB;2016;7,78;0;7,78
ALB;2017;4,52;0;4,52
ALB;2018;8,55;0;8,55
ALB;2019;5,2;0;5,2
ALB;2020;5,31;0;5,31
DZA;1985;0,646;;12,274
DZA;1986;0,25;;12,981
DZA;2000;0,05;23,84;23,89
DZA;1987;0,499;;12,722
DZA;1988;0,183;;13,966
DZA;2001;0,07;24,96;25,03
DZA;1989;0,226;;15,324
DZA;1990;0,135;;16,104
