Code;Year;Primary energy consumption (TWh);Renewables (TWh - equivalent) ;Fossil Fuels (TWh - equivalent)
AFG;1980;77907724;\N;\N
AFG;1981;877732;\N;\N
AFG;1982;9348327;\N;\N
AFG;1983;11436162;\N;\N
AFG;1984;11489043;\N;\N
AFG;1985;11217284;\N;\N
AFG;1986;11462361;\N;\N
AFG;1987;18482574;\N;\N
AFG;1988;32595596;\N;\N
AFG;1989;32051582;\N;\N
AFG;1990;31745558;\N;\N
AFG;1991;13902764;\N;\N
AFG;1992;9167781;\N;\N
AFG;1993;9105348;\N;\N
AFG;1994;8815903;\N;\N
AFG;1995;7428904;\N;\N
AFG;1996;72858114;\N;\N
AFG;1997;69379854;\N;\N
AFG;1998;67522273;\N;\N
AFG;1999;6748676;\N;\N
AFG;2000;5913606;\N;\N
AFG;2001;4664077;\N;\N
AFG;2002;44281597;\N;\N
AFG;2003;52076616;\N;\N
AFG;2004;4810372;\N;\N
AFG;2005;6153309;\N;\N
AFG;2006;7745364;\N;\N
AFG;2007;10039065;\N;\N
AFG;2008;17152418;\N;\N
AFG;2009;27943974;\N;\N
AFG;2010;34740215;\N;\N
AFG;2011;47199333;\N;\N
AFG;2012;43259533;\N;\N
AFG;2013;364886;\N;\N
AFG;2014;33502052;\N;\N
AFG;2015;37011986;\N;\N
AFG;2016;34458023;\N;\N
AFG;2017;3661667;\N;\N
AFG;2018;4198921;\N;\N
AFG;2019;3597401;\N;\N
ALB;1980;4776526;\N;\N
ALB;1981;4749055;\N;\N
ALB;1982;47725487;\N;\N
ALB;1983;4962744;\N;\N
ALB;1984;49940987;\N;\N
ALB;1985;4983857;\N;\N
ALB;1986;4867189;\N;\N
ALB;1987;48837517;\N;\N
ALB;1988;49409107;\N;\N
ALB;1989;46991184;\N;\N
ALB;1990;33657845;\N;\N
ALB;1991;28229689;\N;\N
ALB;1992;24674017;\N;\N
ALB;1993;2163845;\N;\N
ALB;1994;20567207;\N;\N
ALB;1995;2272757;\N;\N
ALB;1996;25011456;\N;\N
ALB;1997;22843916;\N;\N
ALB;1998;24571817;\N;\N
ALB;1999;22114038;\N;\N
