Code;Year;Primary energy consumption (TWh);Renewables (TWh - equivalent) ;Fossil Fuels (TWh - equivalent)
AFG;1980;77907724;;
AFG;1981;877732;;
AFG;1982;9348327;;
AFG;1983;11436162;;
AFG;1984;11489043;;
AFG;1985;11217284;;
AFG;1986;11462361;;
AFG;1987;18482574;;
AFG;1988;32595596;;
AFG;1989;32051582;;
AFG;1990;31745558;;
AFG;1991;13902764;;
AFG;1992;9167781;;
AFG;1993;9105348;;
AFG;1994;8815903;;
AFG;1995;7428904;;
AFG;1996;72858114;;
AFG;1997;69379854;;
AFG;1998;67522273;;
AFG;1999;6748676;;
AFG;2000;5913606;;
AFG;2001;4664077;;
AFG;2002;44281597;;
AFG;2003;52076616;;
AFG;2004;4810372;;
AFG;2005;6153309;;
AFG;2006;7745364;;
AFG;2007;10039065;;
AFG;2008;17152418;;
AFG;2009;27943974;;
AFG;2010;34740215;;
AFG;2011;47199333;;
AFG;2012;43259533;;
AFG;2013;364886;;
AFG;2014;33502052;;
AFG;2015;37011986;;
AFG;2016;34458023;;
AFG;2017;3661667;;
AFG;2018;4198921;;
AFG;2019;3597401;;
ALB;1980;4776526;;
ALB;1981;4749055;;
ALB;1982;47725487;;
ALB;1983;4962744;;
ALB;1984;49940987;;
ALB;1985;4983857;;
ALB;1986;4867189;;
ALB;1987;48837517;;
ALB;1988;49409107;;
ALB;1989;46991184;;
ALB;1990;33657845;;
ALB;1991;28229689;;
ALB;1992;24674017;;
ALB;1993;2163845;;
ALB;1994;20567207;;
ALB;1995;2272757;;
ALB;1996;25011456;;
ALB;1997;22843916;;
ALB;1998;24571817;;
ALB;1999;22114038;;
ALB;2000;28731913;;
ALB;2001;27233145;;
ALB;2002;29497454;;
ALB;2003;33270126;;
ALB;2004;35486534;;
ALB;2005;35013653;;
ALB;2006;32967403;;
ALB;2007;28376635;;
ALB;2008;3099076;;
ALB;2009;33772945;;
ALB;2010;36060646;;
ALB;2011;31485647;;
ALB;2012;30809958;;
ALB;2013;38665195;;
ALB;2014;34059666;;
