Entity;Code;Population ;Median age;GDP per capita, PPP (constant 2017 international $)
Afghanistan;AFG;38972236;16,6;19705600000000000
Albania;ALB;2866850;36,9;131920000000000
Algeria;DZA;43451668;27,6;107354000000
American Samoa;ASM;46216;26,9;
Andorra;AND;77723;42,1;
Angola;AGO;33428490;16,1;61102700000000
Anguilla;AIA;15612;36,2;
Antigua and Barbuda;ATG;92672;34,3;17293300000000
Argentina;ARG;45036032;31;19690700000000
Armenia;ARM;2805610;34,1;12619900000000
Aruba;ABW;106597;40,9;
Australia;AUS;25670052;36,7;4867870000000
Austria;AUT;8907780;42,6;5185770000000
Azerbaijan;AZE;10284952;31;1372680000000
Bahamas;BHS;406478;32,1;30846600000000
Bahrain;BHR;1477478;31,9;41480578125
Bangladesh;BGD;167420944;25,9;48714500000000
Barbados;BRB;280704;38,6;126554000000000
Belarus;BLR;9633745;40;19186800000000
Belgium;BEL;11561716;40,8;487697000000
Belize;BLZ;394931;24,8;612184000000000
Benin;BEN;12643121;17,4;332314000000
Bermuda;BMU;64051;44,5;766265000000
Bhutan;BTN;772512;27,6;105515000000000
Bolivia;BOL;11936169;23,7;78451700000000
Bonaire Sint Eustatius and Saba;BES;26178;39,1;
Bosnia and Herzegovina;BIH;3318410;41,5;14509265625
Botswana;BWA;2546404;23,3;146547000000000
Brazil;BRA;213196304;32,4;14064000000000
British Virgin Islands;VGB;30934;37,7;
Brunei;BRN;441736;31,3;622009000000
Bulgaria;BGR;6979181;44,3;2237909375
Burkina Faso;BFA;21522632;16,5;2155770000000000
Burundi;BDI;12220229;15,4;731063000000000
Cambodia;KHM;16396864;26,2;419157000000
Cameroon;CMR;26491090;17,4;366641000000000
Canada;CAN;37888704;39,9;4606430000000
Cape Verde;CPV;582646;26;604506000000000
Cayman Islands;CYM;67327;36,8;678712000000
Central African Republic;CAF;5343024;14,7;93628800000000
Chad;TCD;16644707;14,9;15190400000000000
Chile;CHL;19300318;34,5;23324500000000
China;CHN;1424929792;37,4;163158000000000
Colombia;COL;50930656;30,4;134489000000000
Comoros;COM;806168;19,9;298917000000000
