Entity;Code;Population ;Median age
Afghanistan;AFG;38972236;16.60
Albania;ALB;2866850;36.90
Algeria;DZA;43451668;27.60
American Samoa;ASM;46216;26.90
Andorra;AND;77723;42.10
Angola;AGO;33428490;16.10
Anguilla;AIA;15612;36.20
Antigua and Barbuda;ATG;92672;34.30
Argentina;ARG;45036032;31.00
Armenia;ARM;2805610;34.10
Aruba;ABW;106597;40.90
Australia;AUS;25670052;36.70
Austria;AUT;8907780;42.60
Azerbaijan;AZE;10284952;31.00
Bahamas;BHS;406478;32.10
Bahrain;BHR;1477478;31.90
Bangladesh;BGD;167420944;25.90
Barbados;BRB;280704;38.60
Belarus;BLR;9633745;40.00
Belgium;BEL;11561716;40.80
Belize;BLZ;394931;24.80
Benin;BEN;12643121;17.40
Bermuda;BMU;64051;44.50
Bhutan;BTN;772512;27.60
Bolivia;BOL;11936169;23.70
Bonaire Sint Eustatius and Saba;BES;26178;39.10
Bosnia and Herzegovina;BIH;3318410;41.50
Botswana;BWA;2546404;23.30
Brazil;BRA;213196304;32.40
British Virgin Islands;VGB;30934;37.70
Brunei;BRN;441736;31.30
Bulgaria;BGR;6979181;44.30
Burkina Faso;BFA;21522632;16.50
Burundi;BDI;12220229;15.40
Cambodia;KHM;16396864;26.20
Cameroon;CMR;26491090;17.40
Canada;CAN;37888704;39.90
Cape Verde;CPV;582646;26.00
Cayman Islands;CYM;67327;36.80
Central African Republic;CAF;5343024;14.70
Chad;TCD;16644707;14.90
Chile;CHL;19300318;34.50
China;CHN;1424929792;37.40
Colombia;COL;50930656;30.40
Comoros;COM;806168;19.90
Congo;COG;5702183;18.10
Cook Islands;COK;17050;32.80
Costa Rica;CRI;5123107;32.40
Cote d'Ivoire;CIV;26811792;17.50
Croatia;HRV;4096872;43.50
Cuba;CUB;11300695;41.10
Curacao;CUW;189298;35.90
Cyprus;CYP;1237540;37.10
Czechia;CZE;10530951;42.20
Democratic Republic of Congo;COD;92853168;15.60
Denmark;DNK;5825638;41.20
Djibouti;DJI;1090162;23.50
Dominica;DMA;72011;31.30
Dominican Republic;DOM;10999668;26.80
Ecuador;ECU;17588596;27.20
Egypt;EGY;107465128;23.80
El Salvador;SLV;6292734;25.90
Equatorial Guinea;GNQ;1596057;21.00
Eritrea;ERI;3555869;18.00
Estonia;EST;1329449;41.40
Eswatini;SWZ;1180663;21.30
Ethiopia;ETH;117190920;18.30
Faeroe Islands;FRO;52440;38.00
Falkland Islands;FLK;3764;39.10
Fiji;FJI;920430;26.60
Finland;FIN;5529468;42.20
France;FRA;64480052;41.40
French Guiana;GUF;290978;23.60
French Polynesia;PYF;301935;32.50
Gabon;GAB;2292583;21.60
Gambia;GMB;2574005;16.70
Georgia;GEO;3765912;36.30
Germany;DEU;83328992;44.90
Ghana;GHA;32180402;20.20
Gibraltar;GIB;32739;41.40
Greece;GRC;10512232;44.40
Greenland;GRL;56049;33.60
Grenada;GRD;123672;30.50
Guadeloupe;GLP;395649;42.20
Guam;GUM;169245;29.70
Guatemala;GTM;17362716;21.70
Guernsey;GGY;62823;39.30
Guinea;GIN;13205157;17.60
Guinea-Bissau;GNB;2015839;18.10
Guyana;GUY;797207;25.20
Haiti;HTI;11306804;22.80
Honduras;HND;10121762;23.10
Hong Kong;HKG;7500955;44.30
Hungary;HUN;9750571;42.50
Iceland;ISL;366682;35.60
India;IND;1396387072;27.30
Indonesia;IDN;271857984;29.20
Iran;IRN;87290192;31.40
Iraq;IRQ;42556988;19.60
Ireland;IRL;4946123;37.30
Isle of Man;IMN;84063;45.10
Israel;ISR;8757487;29.00
Italy;ITA;59500576;46.40
Jamaica;JAM;2820438;30.30
Japan;JPN;125244760;48.00
Jersey;JEY;108332;39.70
Jordan;JOR;10928723;23.10
Kazakhstan;KAZ;18979250;29.50
Kenya;KEN;51985780;18.90
Kiribati;KIR;126473;21.70
Kosovo;OWID_KOS;1670702;30.10
Kuwait;KWT;4360451;37.20
Kyrgyzstan;KGZ;6424880;23.60
Laos;LAO;7319397;23.50
Latvia;LVA;1897057;43.40
Lebanon;LBN;5662924;28.00
Lesotho;LSO;2254104;21.90
Liberia;LBR;5087591;17.80
Libya;LBY;6653946;26.10
Liechtenstein;LIE;38783;43.50
Lithuania;LTU;2820269;43.50
Luxembourg;LUX;630401;38.60
Macao;MAC;676287;37.20
Madagascar;MDG;28225182;18.80
Malawi;MWI;19377058;16.60
Malaysia;MYS;33199988;29.50
Maldives;MDV;514451;29.90
Mali;MLI;21224042;15.00
Malta;MLT;515364;39.00
Marshall Islands;MHL;43437;24.20
Martinique;MTQ;370399;45.90
Mauritania;MRT;4498605;17.40
Mauritius;MUS;1297830;36.40
Mayotte;MYT;305591;16.50
Mexico;MEX;125998296;28.70
Micronesia (country);FSM;112119;23.00
Moldova;MDA;3084848;35.80
Monaco;MCO;36943;54.50
Mongolia;MNG;3294340;26.70
Montenegro;MNE;629058;37.90
Montserrat;MSR;4526;42.30
Morocco;MAR;36688768;28.40
Mozambique;MOZ;31178242;16.70
Myanmar;MMR;53423200;28.80
Namibia;NAM;2489099;21.20
Nauru;NRU;12339;20.20
Nepal;NPL;29348626;23.20
Netherlands;NLD;17434562;41.70
New Caledonia;NCL;286412;32.80
New Zealand;NZL;5061130;36.40
Nicaragua;NIC;6755900;24.20
Niger;NER;24333644;14.40
Nigeria;NGA;208327408;16.90
Niue;NIU;1963;35.80
