Code,Year,Fossil fuels per capita (kWh),Renewables per capita (kWh - equivalent),Primary energy consumption per capita (kWh/person)
DZA,1965,1910.1324,95.53111,2005.6637
DZA,1966,2281.9224,83.2235,2365.146
DZA,1967,2096.2073,94.0028,2190.2102
DZA,1968,2174.2285,126.20633,2300.4348
DZA,1969,2406.913,79.1247,2486.0378
DZA,1970,2540.1611,124.31607,2664.477
DZA,1971,2746.7256,69.15576,2815.8816
DZA,1972,2990.643,101.36669,3092.01
DZA,1973,3450.926,150.38446,3601.3103
DZA,1974,3790.4724,96.981804,3887.4546
DZA,1975,4413.426,61.67956,4475.1055
DZA,1976,4906.019,69.71108,4975.73
DZA,1977,5218.6387,46.42354,5265.062
DZA,1978,6387.1426,41.92492,6429.0674
DZA,1979,8129.0176,47.365265,8176.3833
DZA,1980,9412.426,40.55343,9452.979
DZA,1981,11064.026,55.92673,11119.954
DZA,1982,12334.725,70.81954,12405.545
DZA,1983,13067.9,33.59872,13101.501
DZA,1984,12099.901,62.474915,12162.377
DZA,1985,11764.669,86.30655,11850.976
DZA,1986,12094.42,32.306145,12126.727
DZA,1987,12027.957,62.559628,12090.516
DZA,1988,12576.017,22.321026,12598.338
DZA,1989,11908.628,26.849836,11935.478
DZA,1990,12327.519,15.643562,12343.162
DZA,1991,11908.999,33.15225,11942.152
DZA,1992,11949.858,21.999186,11971.859
DZA,1993,10855.729,38.159126,10893.889
DZA,1994,10789.64,17.570253,10807.211
DZA,1995,10975.977,20.039974,10996.017
DZA,1996,10678.949,13.772591,10692.724
DZA,1997,10097.629,7.5238814,10105.151
DZA,1998,10282.93,21.245111,10304.176
DZA,1999,10242.966,19.78077,10262.746
DZA,2000,9741.336,5.1886096,9746.525
DZA,2001,9955.143,6.4968305,9961.64
DZA,2002,10175.09,5.2608757,10180.351
DZA,2003,10486.486,23.974781,10510.462
DZA,2004,10736.774,22.248251,10759.022
DZA,2005,11065.476,48.24676,11113.724
DZA,2006,11323.462,18.518274,11341.98
DZA,2007,11740.896,18.8043,11759.701
DZA,2008,12229.293,23.004215,12252.297
DZA,2009,12725.983,27.13679,12753.121
DZA,2010,12229.061,14.095838,12243.157
DZA,2011,12680.638,29.902805,12710.541
DZA,2012,13594.317,30.592276,13624.91
DZA,2013,14121.583,9.151515,14130.735
DZA,2014,15090.883,17.75302,15108.637
DZA,2015,15601.193,15.118675,15616.312
DZA,2016,15272.842,22.301409,15295.145
DZA,2017,15126.544,37.457855,15164.002
DZA,2018,15966.561,46.065006,16012.625
DZA,2019,16223.641,47.960056,16271.601
DZA,2020,15015.856,44.865803,15060.723
DZA,2021,15455.552,40.50162,15496.054
