iso_code;year_of_data;renewables_percentage;fossil_fuels_percentage
DZA;1965;4.7631;95.2369
DZA;1966;3.5187;96.4813
DZA;1967;4.292;95.708
DZA;1968;5.4862;94.5138
DZA;1969;3.1828;96.8172
DZA;1970;4.6657;95.3343
DZA;1971;2.4559;97.5441
DZA;1972;3.2783;96.7217
DZA;1973;4.1758;95.8242
DZA;1974;2.4947;97.5053
DZA;1975;1.3783;98.6217
DZA;1976;1.401;98.599
DZA;1977;0.8817;99.1183
DZA;1978;0.6521;99.3479
DZA;1979;0.5793;99.4207
DZA;1980;0.429;99.571
DZA;1981;0.5029;99.4971
DZA;1982;0.5709;99.4291
DZA;1983;0.2564;99.7436
DZA;1984;0.5137;99.4863
DZA;1985;0.7283;99.2717
DZA;1986;0.2664;99.7336
DZA;1987;0.5174;99.4826
DZA;1988;0.1772;99.8228
DZA;1989;0.225;99.7751
DZA;1990;0.1267;99.8733
DZA;1991;0.2776;99.7224
DZA;1992;0.1838;99.8162
DZA;1993;0.3503;99.6497
DZA;1994;0.1626;99.8374
DZA;1995;0.1822;99.8178
DZA;1996;0.1288;99.8712
DZA;1997;0.0745;99.9255
DZA;1998;0.2062;99.7938
DZA;1999;0.1927;99.8073
DZA;2000;0.0532;99.9468
DZA;2001;0.0652;99.9348
DZA;2002;0.0517;99.9483
DZA;2003;0.2281;99.7719
DZA;2004;0.2068;99.7932
DZA;2005;0.4341;99.5659
DZA;2006;0.1633;99.8367
DZA;2007;0.1599;99.8401
DZA;2008;0.1878;99.8123
DZA;2009;0.2128;99.7872
DZA;2010;0.1151;99.8849
DZA;2011;0.2353;99.7647
DZA;2012;0.2245;99.7755
DZA;2013;0.0648;99.9352
DZA;2014;0.1175;99.8825
DZA;2015;0.0968;99.9032
DZA;2016;0.1458;99.8542
DZA;2017;0.247;99.753
DZA;2018;0.2877;99.7123
DZA;2019;0.2947;99.7053
DZA;2020;0.2979;99.7021
DZA;2021;0.2614;99.7386
ARG;1965;1.1027;98.8973
ARG;1966;1.0819;98.9181
ARG;1967;1.0766;98.9234
ARG;1968;1.2273;98.7727
ARG;1969;1.0652;98.9348
ARG;1970;1.3534;98.6466
ARG;1971;1.2703;98.7297
ARG;1972;1.235;98.765
ARG;1973;2.2837;97.7163
ARG;1974;3.6298;95.6571
ARG;1975;3.8622;94.3656
ARG;1976;3.5544;94.7189
ARG;1977;3.9092;95.0385
ARG;1978;5.2277;92.9135
ARG;1979;6.7023;91.6885
ARG;1980;9.5529;89.0403
ARG;1981;9.5415;88.7138
ARG;1982;11.2295;87.6331
ARG;1983;11.3035;86.7094
ARG;1984;12.1327;85.166
ARG;1985;12.7596;83.8434
ARG;1986;12.2985;84.5169
ARG;1987;12.2475;84.3031
ARG;1988;8.4174;88.54
ARG;1989;7.5436;89.7142
ARG;1990;10.2927;85.6801
ARG;1991;9.0814;86.697
ARG;1992;10.2067;86.2008
ARG;1993;12.2165;83.9776
ARG;1994;13.3064;82.8551
ARG;1995;12.5355;84.273
ARG;1996;10.225;86.554
ARG;1997;12.5141;84.0876
ARG;1998;11.4822;85.4458
ARG;1999;9.2266;87.8761
ARG;2000;12.2839;85.2077
ARG;2001;15.9375;81.1466
ARG;2002;16.2493;81.2593
ARG;2003;14.4083;82.5899
ARG;2004;12.1856;84.893
ARG;2005;12.7885;84.8228
ARG;2006;13.4495;84.0123
ARG;2007;10.5992;87.13
ARG;2008;10.4371;87.2922
ARG;2009;11.7835;85.6473
ARG;2010;11.6614;86.1685
ARG;2011;10.9294;87.2075
ARG;2012;10.2164;88.001
ARG;2013;10.9501;87.3983
ARG;2014;11.039;87.4981
ARG;2015;10.9074;87.2673
ARG;2016;10.167;87.6869
ARG;2017;10.9647;87.4658
ARG;2018;11.3976;86.8284
ARG;2019;11.9268;85.7789
ARG;2020;12.1794;84.77
ARG;2021;11.3292;85.8181
AUS;1965;5.5626;94.4374
AUS;1966;5.0719;94.9281
AUS;1967;4.9495;95.0505
AUS;1968;4.8655;95.1345
AUS;1969;5.087;94.913
AUS;1970;5.4215;94.5786
AUS;1971;5.8227;94.1773
AUS;1972;5.5993;94.4007
AUS;1973;5.5887;94.4113
AUS;1974;5.9551;94.0449
AUS;1975;6.297;93.703
AUS;1976;5.7934;94.2066
AUS;1977;5.2698;94.7302
AUS;1978;5.5087;94.4913
AUS;1979;5.1658;94.8342
AUS;1980;4.8623;95.1377
AUS;1981;4.9304;95.0697
AUS;1982;4.6368;95.3632
AUS;1983;4.5345;95.4655
AUS;1984;4.7185;95.2815
AUS;1985;4.8632;95.1369
AUS;1986;4.7986;95.2014
AUS;1987;4.5329;95.4671
AUS;1988;4.6417;95.3583
AUS;1989;4.42;95.58
AUS;1990;4.4594;95.5406
AUS;1991;4.7401;95.2599
AUS;1992;4.7317;95.2683
AUS;1993;4.7594;95.2406
AUS;1994;4.5272;95.4728
AUS;1995;4.2397;95.7603
AUS;1996;4.2366;95.7634
AUS;1997;4.1458;95.8542
AUS;1998;4.0378;95.9622
AUS;1999;4.0089;95.9911
AUS;2000;3.9889;96.0111
AUS;2001;3.8708;96.1292
AUS;2002;3.9315;96.0686
AUS;2003;4.015;95.985
AUS;2004;4.0366;95.9634
AUS;2005;4.3136;95.6865
AUS;2006;4.2334;95.7666
AUS;2007;3.9767;96.0233
AUS;2008;3.6813;96.3187
AUS;2009;3.9203;96.0797
AUS;2010;4.3128;95.6872
AUS;2011;5.699;94.301
AUS;2012;5.7002;94.2998
AUS;2013;6.5259;93.4741
AUS;2014;5.9798;94.0202
AUS;2015;6.29;93.71
AUS;2016;7.1892;92.8108
AUS;2017;6.7501;93.2499
AUS;2018;8.3001;91.6999
AUS;2019;8.8807;91.1193
AUS;2020;10.7898;89.2102
AUS;2021;12.9335;87.0665
AUT;1965;25.0964;74.9036
AUT;1966;25.8402;74.1598
AUT;1967;26.1189;73.8811
AUT;1968;25.0992;74.9008
AUT;1969;22.2754;77.7246
AUT;1970;24.7703;75.2298
AUT;1971;19.6523;80.3477
AUT;1972;19.5241;80.4759
AUT;1973;20.1774;79.8226
AUT;1974;23.7345;76.2655
AUT;1975;25.0342;74.9658
AUT;1976;20.9053;79.0947
AUT;1977;25.2713;74.7287
AUT;1978;24.2446;75.7554
AUT;1979;25.7845;74.2155
AUT;1980;26.826;73.174
AUT;1981;29.2807;70.7193
AUT;1982;30.3198;69.6802
AUT;1983;30.1178;69.8822
AUT;1984;26.6898;73.3102
AUT;1985;29.7693;70.2307
AUT;1986;30.1777;69.8224
AUT;1987;32.1938;67.8062
AUT;1988;32.7333;67.2667
AUT;1989;32.4086;67.5914
AUT;1990;28.9087;71.0913
AUT;1991;27.5872;72.4128
AUT;1992;31.0373;68.9627
AUT;1993;32.0881;67.9119
AUT;1994;31.2963;68.7037
AUT;1995;31.5159;68.4841
AUT;1996;28.9512;71.0488
AUT;1997;29.9635;70.0365
AUT;1998;30.4417;69.5583
AUT;1999;32.258;67.742
AUT;2000;32.9543;67.0457
AUT;2001;30.8165;69.1835
AUT;2002;30.3251;69.6749
AUT;2003;25.1405;74.8595
AUT;2004;27.6338;72.3662
AUT;2005;27.9479;72.0521
AUT;2006;28.5912;71.4088
AUT;2007;30.9806;69.0194
AUT;2008;31.3455;68.6545
AUT;2009;34.3225;65.6775
AUT;2010;31.6056;68.3944
AUT;2011;30.7208;69.2792
AUT;2012;35.9293;64.0707
AUT;2013;35.2667;64.7333
AUT;2014;36.6403;63.3597
AUT;2015;34.9641;65.0359
AUT;2016;35.6519;64.3482
AUT;2017;34.5029;65.4971
AUT;2018;34.5689;65.4311
AUT;2019;35.6114;64.3886
AUT;2020;38.2607;61.7393
AUT;2021;37.4818;62.5182
AZE;1985;1.6519;98.3481
AZE;1986;0.9407;99.0593
AZE;1987;0.9707;99.0293
AZE;1988;0.8421;99.158
AZE;1989;0.8257;99.1743
