;Code;Year;Renewables (% electricity);Fossil fuels (% electricity)
0;AFG;2000;65,95744;34,042553
1;AFG;2001;84,745766;15,254238
2;AFG;2002;81,159424;18,84058
3;AFG;2003;67,02128;32,97872
4;AFG;2004;62,92135;37,07865
5;AFG;2005;63,440857;36,55914
6;AFG;2006;76,190475;23,809525
7;AFG;2007;78,94737;21,052631
8;AFG;2008;73,9726;26,027397
9;AFG;2009;82,97872;17,021276
10;AFG;2010;79,78723;20,212767
11;AFG;2011;76,92309;23,076923
12;AFG;2012;84,09091;15,909091
13;AFG;2013;80,180176;19,81982
14;AFG;2014;86,2069;13,793104
15;AFG;2015;87,28814;12,711865
16;AFG;2016;87,603294;12,396694
17;AFG;2017;85,826775;14,173228
18;AFG;2018;82,90598;17,094017
19;AFG;2019;83,17757;16,82243
20;AFG;2020;85,0;15,0
21;AFG;2021;84,33735;15,662651
22;Null;1985;19,197454;77,89477
23;Null;1986;19,179012;76,8619
24;Null;1987;17,738724;79,38895
25;Null;1988;18,361074;77,57348
26;Null;1989;18,553274;77,44634
27;Null;1990;18,207285;78,51348
28;Null;1991;18,917315;77,70989
29;Null;1992;17,901201;78,85779
30;Null;1993;16,99157;80,471245
31;Null;1994;16,630821;80,17651
32;Null;1995;16,758926;79,77335
33;Null;1996;16,634296;79,70319
34;Null;1997;16,272135;79,92227
35;Null;1998;16,819448;79,23884
36;Null;1999;17,294086;79,01989
37;Null;2000;18,374432;78,53185
38;Null;2001;19,263138;78,28523
39;Null;2002;18,668484;78,73814
40;Null;2003;17,521225;79,86975
41;Null;2004;17,567488;79,66115
42;Null;2005;17,419956;80,29496
43;Null;2006;17,282114;80,91277
44;Null;2007;16,92582;80,91409
45;Null;2008;17,006596;80,84248
46;Null;2009;17,57653;80,4806
47;Null;2010;17,634817;80,41984
48;Null;2011;17,671211;80,39684
49;Null;2012;17,093758;81,12309
50;Null;2013;17,647554;80,44351
51;Null;2014;18,590454;79,411766
52;Null;2015;18,623781;79,93483
53;Null;2016;18,739191;79,283005
54;Null;2017;19,122046;78,989655
55;Null;2018;20,473812;78,23063
56;Null;2019;21,454725;76,90179
57;Null;2020;22,731155;75,829956
58;Null;2021;22,963007;75,58944
59;Null;1985;19,197454;77,89477
60;Null;1986;19,179014;76,861885
61;Null;1987;17,738724;79,38895
62;Null;1988;18,361078;77,57349
63;Null;1989;18,553274;77,44634
64;Null;1990;18,207285;78,51349
65;Null;1991;18,917315;77,70989
66;Null;1992;17,901201;78,85779
67;Null;1993;16,991568;80,47124
68;Null;1994;16,630821;80,176506
69;Null;1995;16,758926;79,77335
70;Null;1996;16,634296;79,70319
71;Null;1997;16,272135;79,922264
72;Null;1998;16,819447;79,23884
73;Null;1999;17,294086;79,01989
74;Null;2000;17,654526;78,74516
75;Null;2001;18,216648;79,02588
76;Null;2002;18,0019;79,12548
77;Null;2003;16,845776;80,06246
78;Null;2004;16,825418;80,04416
79;Null;2005;16,532818;80,85245
80;Null;2006;16,498604;81,17703
81;Null;2007;16,27717;81,25522
82;Null;2008;16,296865;81,099655
83;Null;2009;16,63348;80,76775
84;Null;2010;16,941187;80,48697
85;Null;2011;17,035778;80,31119
86;Null;2012;16,439018;81,26386
87;Null;2013;16,964638;80,66277
88;Null;2014;17,726316;79,97506
89;Null;2015;17,680172;80,29546
90;Null;2016;17,64968;80,01451
91;Null;2017;18,653673;79,13992
92;Null;2018;19,723248;78,29744
93;Null;2019;20,735146;77,069855
94;Null;2020;22,43074;75,25884
95;Null;2021;22,54922;75,67336
96;Null;2000;18,374432;78,53185
97;Null;2001;19,263138;78,28523
98;Null;2002;18,668484;78,73814
99;Null;2003;17,521227;79,86976
100;Null;2004;17,567488;79,66115
101;Null;2005;17,419956;80,29497
102;Null;2006;17,282114;80,91277
103;Null;2007;16,92582;80,91409
104;Null;2008;17,006596;80,84248
105;Null;2009;17,57653;80,4806
106;Null;2010;17,634817;80,41984
107;Null;2011;17,671211;80,39684
108;Null;2012;17,093758;81,12309
109;Null;2013;17,647552;80,443504
110;Null;2014;18,590456;79,411766
111;Null;2015;18,623781;79,93483
112;Null;2016;18,739191;79,283
113;Null;2017;19,122046;78,989655
114;Null;2018;20,473812;78,23063
115;Null;2019;21,454725;76,90179
116;Null;2020;22,731155;75,829956
117;Null;2021;22,963007;75,589455
118;ALB;1990;86,36364;13,636364
119;ALB;1991;92,1466;7,8534036
120;ALB;1992;95,0;5,0
121;ALB;1993;93,76771;6,2322946
122;ALB;1994;95,68528;4,3147206
123;ALB;1995;93,95973;6,0402694
124;ALB;1996;95,65944;4,3405676
125;ALB;1997;96,17591;3,8240917
126;ALB;1998;96,2818;3,7181995
127;ALB;1999;97,41697;2,5830257
128;ALB;2000;96,22642;3,7735848
129;ALB;2001;95,44236;4,5576406
130;ALB;2002;93,850266;6,1497326
131;ALB;2003;97,8;2,2
132;ALB;2004;97,504456;2,4955437
133;ALB;2005;98,713234;1,2867647
134;ALB;2006;98,36957;1,6304348
135;ALB;2007;97,55245;2,4475524
136;ALB;2008;100,0;0,0
137;ALB;2009;100,0;0,0
138;ALB;2010;100,0;0,0
139;ALB;2011;98,568016;1,4319808
140;ALB;2012;100,0;0,0
141;ALB;2013;100,0;0,0
142;ALB;2014;100,0;0,0
143;ALB;2015;100,0;0,0
144;ALB;2016;100,0;0,0
145;ALB;2017;100,0;0,0
146;ALB;2018;100,0;0,0
147;ALB;2019;100,0;0,0
148;ALB;2020;100,0;0,0
149;DZA;2000;0,20929259;99,79071
150;DZA;2001;0,2796644;99,72033
151;DZA;2002;0,23085803;99,76914
152;DZA;2003;0,93491554;99,06509
153;DZA;2004;0,8506295;99,149376
154;DZA;2005;1,7235976;98,276405
